Regions,Target'000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Universe,Universe HH,A,B,CDE,ABC,Male,Female,2-12,2-14,13-21,15-21,22-30,31-40,41-50,51-60,61+,MF 15-30 CDE,MF 15-30 ABCDE,MF 15-30 A,MF 2-14 AB,MF 15-40 AB,MF 15-30 AB,MF 13-21 AB,MF 2-40 AB,MF 13-21 A,F 22-50 AB,F 22-50 A,F 22-40 AB,MF 15-40 ABCDE,MF 13-21 ABCDE,15-30,F 22-40 ABC,MF 22-40 AB,MF 13-21 ABC,F 22-40 BCDE,F 22-40 A,MF 13-21 BCDE,MF 13-21 CDE,MF 31-50 AB,MF 15-30 ABC,MF 15-21 ABC,MF 2-40 ABC,MF 2-14 ABC,MF 22+ ABC,F 15-21 A,F 22-30 A,F 21-40 A,F 41-50 A,F 51-60 A,F 61+ A,M 15-21 A,M 22-30 A,M 31-40 A,M 41-50 A,M 51-60 A,M 61+ A,MF 15-21 AB,MF 22-30 AB,MF 31-40 AB,MF 41-50 AB,MF 51-60 AB,MF 61+ AB,F 15-21 AB,F 22-30 AB,F 31-40 AB,F 41-50 AB,F 51-60 AB,F 61+ AB,M 15-21 AB,M 22-30 AB,M 31-40 AB,M 41-50 AB,M 51-60 AB,M 61+ AB,F 2-40 A,F 22+ ABC
India,"888,491.70","210,207.89","230,158.25","282,166.90","376,166.55","805,853.59","454,764.96","433,726.74","174,935.34","227,284.67","180,207.67","127,858.34","157,855.90","139,630.96","103,478.49","67,480.61","64,902.72","129,669.90","285,714.24","68,797.59","126,719.60","239,709.82","156,044.34","92,209.16","366,429.42","35,976.29","115,011.18","53,100.17","84,943.77","425,345.21","180,207.67","285,714.24","135,226.10","174,140.90","158,984.66","108,405.08","39,657.64","144,231.39","87,998.52","147,327.89","259,407.28","112,463.87","591,123.94","204,355.71","394,524.86","11,927.08","20,930.80","18,726.85","13,442.53","10,287.07","10,322.97","14,308.36","21,631.36","20,433.65","15,007.83","9,507.44","10,166.68","65,568.91","90,475.42","83,665.48","63,662.41","41,935.15","40,298.18","30,675.13","44,226.66","40,717.10","30,067.41","21,342.25","20,682.29","34,893.78","46,248.76","42,948.38","33,595.00","20,592.90","19,615.89","76,039.25","241,221.21"
Pun / Har / Cha / HP / J&K,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
UP/Uttarakhand,"88,368.41","16,986.58","26,896.01","27,449.66","34,022.74","80,934.57","46,382.80","41,985.61","19,760.60","25,792.53","20,083.56","14,051.62","15,783.17","11,850.71","9,089.59","5,972.76","5,828.03","12,079.68","29,834.80","8,436.65","14,985.51","25,175.75","17,755.12","10,766.47","40,161.26","4,664.56","10,512.35","5,264.13","8,062.49","41,685.51","20,083.56","29,834.80","12,169.10","17,323.66","17,465.08","9,318.31","4,039.02","15,418.99","9,317.09","13,287.59","27,056.22","12,317.28","61,640.68","23,554.11","36,942.46","1,492.99","2,294.02","1,745.00","1,225.11","1,219.91","1,236.06","1,972.62","2,677.02","1,977.49","1,811.75",976.31,"1,356.34","7,852.09","9,903.03","7,420.63","5,866.95","4,087.59","4,229.87","3,514.56","4,520.25","3,542.24","2,449.86","2,127.81","2,071.60","4,337.53","5,382.78","3,878.39","3,417.10","1,959.79","2,158.26","8,661.43","21,334.93"
Rajasthan,"43,679.13","9,131.29","11,936.52","16,543.42","15,199.19","41,857.99","22,855.43","20,823.71","9,615.79","12,634.72","9,422.54","6,403.61","7,613.15","6,832.26","5,071.03","2,852.54","2,271.82","4,996.62","14,016.76","3,606.62","8,036.75","13,626.19","9,020.14","5,938.41","21,662.93","2,139.82","6,160.70","2,711.44","4,635.92","20,849.02","9,422.54","14,016.76","6,678.37","9,561.65","8,889.35","4,947.59","2,043.45","7,282.73","3,484.13","8,054.89","13,647.19","6,082.60","31,893.37","11,827.80","18,990.19",636.11,953.66,"1,089.79",668.00,466.68,415.58,822.10,"1,194.76",938.68,812.85,365.91,329.25,"4,064.54","4,955.60","4,606.05","3,448.84","1,848.91","1,519.25","1,793.13","2,179.20","2,456.72","1,524.79","1,029.01",813.46,"2,271.40","2,776.40","2,149.33","1,924.06",819.90,705.79,"4,013.05","11,716.67"
Delhi,"26,073.52","5,576.18","15,058.71","6,309.32","4,705.49","25,585.20","13,808.10","12,265.41","4,956.10","6,292.36","5,024.01","3,687.75","5,022.38","4,505.32","3,145.59","1,880.57","1,539.56","1,743.31","8,710.13","4,759.77","4,879.33","10,712.37","6,966.82","3,792.80","15,591.70","2,403.44","4,994.42","3,596.44","3,687.58","13,215.45","5,024.01","8,710.13","4,469.69","7,835.05","4,851.69","1,836.73","2,700.26","2,620.57","1,231.21","6,505.23","8,534.46","3,581.34","19,090.88","6,101.00","12,813.51",850.02,"1,369.59","1,330.67",896.18,569.33,485.21,"1,052.62","1,487.53","1,454.84","1,059.37",623.07,516.05,"2,877.33","4,089.49","3,745.55","2,759.68","1,634.50","1,382.14","1,330.98","1,915.13","1,772.45","1,306.85",785.57,670.94,"1,546.34","2,174.37","1,973.10","1,452.83",848.93,711.20,"5,086.85","7,568.06"
Assam / North East / Sikkim,"30,844.01","6,777.46","4,566.76","7,737.18","18,540.06","24,754.46","16,145.38","14,698.63","6,528.18","8,271.35","6,458.15","4,714.98","5,494.06","4,941.52","3,536.84","2,060.72","1,824.55","6,485.89","10,209.04","1,328.05","2,994.71","5,998.94","3,723.15","2,259.67","8,993.65",n.a,"2,722.34",941.69,"2,050.04","15,150.56","6,458.15","10,209.04","4,097.67","4,328.85","4,818.68","4,315.60",735.63,"5,711.93","4,198.47","3,748.49","8,063.21","3,564.68","18,564.80","6,350.54","11,951.45",n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,"1,670.09","2,053.06","2,275.79","1,472.70",887.75,949.85,639.31,"1,043.45","1,006.59",672.30,465.60,461.05,n.a,"1,009.61","1,269.20",800.41,422.15,488.80,"1,468.09","7,047.13"
Odisha,"27,782.43","6,766.93","5,644.23","8,774.68","13,363.52","24,412.28","13,379.15","14,403.28","5,612.41","7,255.88","5,128.65","3,485.18","5,430.00","4,202.49","3,238.06","2,241.84","1,928.97","4,609.32","8,915.18","1,645.57","3,587.67","6,552.39","4,305.86","2,515.61","10,140.06",782.14,"3,365.90","1,332.62","2,461.82","13,117.68","5,128.65","8,915.18","4,368.71","4,821.51","4,373.68","3,910.79","1,009.64","4,346.52","2,613.05","4,071.29","7,894.50","3,012.83","17,774.05","6,175.80","12,339.89",n.a,566.25,443.38,322.98,254.91,308.41,n.a,518.98,453.39,349.88,306.91,280.66,"1,730.88","2,574.99","2,246.53","1,824.77","1,313.84","1,140.24",890.67,"1,320.28","1,141.54",904.09,554.91,660.98,840.20,"1,254.71","1,104.99",920.68,758.93,479.26,"1,934.75","7,758.79"
West Bengal,"60,068.99","15,289.47","8,419.14","15,278.93","36,370.92","51,234.56","31,453.77","28,615.22","10,577.81","13,570.51","11,693.14","8,700.44","10,503.22","10,373.25","7,390.16","4,935.85","4,595.56","12,361.73","19,203.66","2,233.11","4,855.05","10,807.21","6,841.93","3,744.40","15,662.26","1,081.39","5,200.84","1,872.53","3,829.74","29,576.91","11,693.14","19,203.66","8,972.12","7,969.74","9,570.46","9,166.20","1,355.10","10,611.75","7,948.74","7,076.50","16,144.44","7,036.53","36,398.46","11,379.43","26,473.65",n.a,741.31,613.79,517.42,443.52,557.55,504.50,662.99,847.90,542.52,507.51,611.10,"2,837.48","4,004.45","3,965.28","3,111.22","2,392.44","2,532.15","1,179.79","1,998.37","1,831.37","1,371.10","1,033.24","1,272.19","1,657.68","2,006.08","2,133.91","1,740.11","1,359.20","1,259.96","2,391.22","15,495.22"
Guj / D&D / DNH,"58,623.79","12,918.00","14,903.74","20,022.20","23,697.85","53,615.77","30,474.81","28,148.98","12,033.18","15,610.44","12,874.53","9,297.28","10,370.53","9,046.69","6,714.90","4,125.82","3,458.13","8,547.23","19,667.81","4,564.96","8,428.73","16,885.76","11,120.58","6,906.63","25,314.49","2,666.89","8,063.35","3,470.21","5,817.20","28,714.51","12,874.53","19,667.81","8,777.16","11,876.38","11,410.89","7,026.91","2,462.13","10,207.64","5,967.90","10,234.24","17,670.79","8,083.28","40,405.39","14,312.48","24,997.85",916.59,"1,182.32","1,279.81","1,008.08",672.60,774.93,"1,099.94","1,366.11","1,260.48","1,020.17",667.19,543.04,"5,009.38","6,111.20","5,765.18","4,469.06","2,774.16","2,368.23","2,456.33","2,938.22","2,878.98","2,246.15","1,454.93","1,390.27","2,553.05","3,172.98","2,886.20","2,222.91","1,319.23",977.96,"4,813.62","15,678.75"
Mah / Goa,"109,451.66","25,462.59","31,373.99","38,059.14","40,018.53","100,857.26","56,903.14","52,548.52","20,506.41","26,303.30","22,172.20","16,375.31","19,170.15","17,491.59","12,867.58","8,459.59","8,784.15","15,278.31","35,545.45","9,155.43","16,714.93","31,956.12","20,267.14","12,166.00","48,671.05","4,883.36","15,229.63","7,090.61","11,084.35","53,037.04","22,172.20","35,545.45","16,420.01","23,206.73","20,092.93","12,611.73","5,223.70","17,288.84","10,006.21","20,535.41","32,766.55","14,808.01","72,985.87","24,063.56","50,047.12","1,529.07","2,672.80","2,550.90","1,866.91","1,384.04","1,536.92","2,041.82","2,911.74","2,956.55","2,127.19","1,355.49","1,383.42","8,749.38","11,517.76","11,688.97","8,846.44","5,949.16","5,966.49","3,904.82","5,593.75","5,490.59","4,145.28","2,993.81","3,153.91","4,844.56","5,924.01","6,198.38","4,701.15","2,955.35","2,812.58","9,703.79","30,069.93"
